ticket;resposta_NPS;grupo_NPS;Nota_ConhecimentoAgente;Nota_Solucao;Nota_TempoRetorno;Nota_Facilidade;Nota_Satisfacao;cliente
19478703;10;promotor;10;10;10;10;10;TFCLHU
19994447;9;promotor;9;9;9;9;9;TFCDXR
19467742;10;promotor;NULL;NULL;NULL;NULL;NULL;T16451
18992197;10;promotor;NULL;NULL;NULL;NULL;NULL;TEZJP5
19590718;10;promotor;10;10;10;10;10;TFCNRP
20993827;10;promotor;10;10;10;10;10;T35673
21416845;10;promotor;8;8;8;8;8;TFBX19
19264918;10;promotor;10;7;9;4;10;TB4659
19612644;10;promotor;10;10;10;10;10;T11727
20198147;10;promotor;NULL;NULL;NULL;NULL;NULL;TFCNRP
20396615;9;promotor;NULL;NULL;NULL;NULL;NULL;T76590
19006172;3;detrator;NULL;NULL;NULL;NULL;NULL;TFDIEL
20305358;10;promotor;NULL;NULL;NULL;NULL;NULL;TB4603
19659335;9;promotor;9;10;7;9;9;T55117
21217685;10;promotor;10;10;10;10;10;TFDQQG
20413323;10;promotor;10;10;10;10;10;TFCGND
18921836;3;detrator;3;3;3;3;3;T76120
19822577;10;promotor;10;10;10;10;10;TB4671
19036566;10;promotor;10;10;10;10;10;T21576
20767803;10;promotor;NULL;NULL;NULL;NULL;NULL;TEZEV7
18799156;10;promotor;NULL;NULL;NULL;NULL;NULL;T59082
19661290;10;promotor;10;10;10;10;10;T14744
19578668;10;promotor;10;10;10;10;10;TFCDXR
20948859;10;promotor;10;10;10;10;10;T16451
20386642;10;promotor;NULL;NULL;NULL;NULL;NULL;TFBSWH
21161049;10;promotor;10;10;10;10;10;TEZNL0
20463178;10;promotor;7;7;7;7;7;TFCHUW
20686088;9;promotor;9;9;10;8;8;T03524
21051391;10;promotor;10;10;10;10;10;TB3043
20361118;0;detrator;0;0;0;0;0;T10944
19864726;10;promotor;10;10;10;10;10;TFCDG4
19165284;10;promotor;10;10;10;10;10;TEYJI6
20222513;10;promotor;10;10;10;10;10;TEXSJH
21197476;9;promotor;NULL;NULL;NULL;NULL;NULL;T35530
21306929;9;promotor;9;9;9;9;9;TEZBRQ
20785756;9;promotor;8;8;8;8;8;TFCPG1
19728799;10;promotor;10;10;10;10;10;TFCLHN
19911813;10;promotor;NULL;NULL;NULL;NULL;NULL;TFCLHU
21179517;5;detrator;8;2;6;3;2;TEWP89
18980589;10;promotor;10;10;10;10;10;T50142
18970789;10;promotor;10;10;10;10;10;T03960
18927493;7;passivo;8;0;7;5;7;T15854
20055573;10;promotor;NULL;NULL;NULL;NULL;NULL;TFCNRP
18850745;10;promotor;10;10;10;10;10;TA0719
20694902;10;promotor;10;10;10;10;10;TEXSJH
19117447;10;promotor;6;6;6;6;6;TEZNX8
18985409;9;promotor;9;9;9;9;9;TEZBRQ
20855983;10;promotor;10;10;10;10;10;T42463
21444996;7;passivo;8;8;8;4;4;T03415
21136692;9;promotor;9;9;9;9;9;TB4880
19069018;9;promotor;9;9;9;9;9;TFBLN2
21362161;10;promotor;10;10;10;10;10;TFCDXR
18913815;9;promotor;9;9;9;9;9;TEZGMI
20777691;10;promotor;NULL;NULL;NULL;NULL;NULL;TEZGIV
19815976;10;promotor;10;10;10;10;10;TFCVG6
19316360;10;promotor;10;10;10;10;10;T75794
19585499;10;promotor;10;10;10;10;10;TEZFD6
19266855;10;promotor;NULL;NULL;NULL;NULL;NULL;TFCQTM
19310796;10;promotor;10;10;10;9;10;T11293
19725197;10;promotor;10;10;10;10;10;T92214
20834690;9;promotor;10;5;9;5;5;T49634
20723774;10;promotor;10;10;10;10;10;TFDQK8
19458674;10;promotor;NULL;NULL;NULL;NULL;NULL;TFCPOP
21471349;9;promotor;9;9;9;9;9;TFDIEI
20620539;8;passivo;8;7;8;7;8;T11036
20686503;10;promotor;10;10;10;8;10;T53755
20416123;10;promotor;10;10;10;10;10;TFCLMQ
19934692;10;promotor;10;10;10;10;10;T11293
21050286;10;promotor;10;10;10;10;10;T35673
21206664;0;detrator;0;0;0;0;0;TB4628
20921043;10;promotor;10;10;10;10;10;T54318
21174398;10;promotor;10;10;10;10;10;TEZHBK
20893657;9;promotor;9;9;9;9;9;T05967
18916915;10;promotor;NULL;NULL;NULL;NULL;NULL;TB6627
21315562;10;promotor;10;10;10;10;10;T50149
21202289;10;promotor;8;10;10;10;10;TFDUSI
18992735;10;promotor;10;10;10;10;10;TEZJP5
19502842;10;promotor;10;10;10;10;10;TFCYO8
19221258;10;promotor;NULL;NULL;NULL;NULL;NULL;TEZF81
19392007;10;promotor;10;10;10;10;10;T80295
20012944;10;promotor;10;10;9;10;10;T07472
19796918;1;detrator;NULL;NULL;NULL;NULL;NULL;T14398
20330583;10;promotor;10;10;10;10;10;TFBKU3
20858521;10;promotor;10;10;10;10;10;TFCEMY
20453415;10;promotor;10;10;10;10;10;TEZF81
21137603;9;promotor;10;10;10;10;10;T75437
19845111;7;passivo;9;0;9;0;0;TFBTO8
21318558;10;promotor;10;10;10;10;10;T00538
19862848;9;promotor;10;10;10;10;10;TEZNGU
18976390;10;promotor;10;10;10;10;10;T01502
20987640;10;promotor;NULL;NULL;NULL;NULL;NULL;TFDJLF
19616229;10;promotor;NULL;NULL;NULL;NULL;NULL;T36224
19057228;9;promotor;8;8;9;9;5;T50149
17415724;6;detrator;6;6;5;6;5;T02145
21310989;9;promotor;10;10;8;9;10;TFBRLL
19251075;10;promotor;10;10;10;10;10;TEXCMP
21378201;0;detrator;0;0;0;0;0;T42063
18985907;10;promotor;NULL;NULL;NULL;NULL;NULL;TFDDDI
19373484;0;detrator;5;0;8;0;0;T81376
21229351;10;promotor;10;10;10;10;10;T77096
20623502;10;promotor;10;10;10;10;10;T59297
19711885;9;promotor;8;8;8;8;8;TFBRNO
19043530;10;promotor;NULL;NULL;NULL;NULL;NULL;TEZFZF
20360260;7;passivo;NULL;NULL;NULL;NULL;NULL;TFCODW
19755340;10;promotor;10;10;10;10;10;T53787
21429168;10;promotor;NULL;NULL;NULL;NULL;NULL;T76839
19640531;10;promotor;NULL;NULL;NULL;NULL;NULL;TFDAHX
20394897;10;promotor;10;10;10;10;10;T42559
19787600;10;promotor;10;10;10;10;8;T11623
19712911;10;promotor;10;10;10;10;10;TFCYO8
19382031;9;promotor;9;9;9;9;9;TEVVV4
20044602;5;detrator;NULL;NULL;NULL;NULL;NULL;T53407
19657276;10;promotor;NULL;NULL;NULL;NULL;NULL;T60311
19020018;10;promotor;10;10;10;10;10;T43917
20568836;10;promotor;10;10;10;10;8;TFDNX0
19978895;9;promotor;9;9;9;9;9;T76806
19006214;10;promotor;NULL;NULL;NULL;NULL;NULL;TEYJBZ
19386583;10;promotor;10;10;10;10;10;TEZBOG
20821141;10;promotor;NULL;NULL;NULL;NULL;NULL;TEYVVB
19964758;7;passivo;NULL;NULL;NULL;NULL;NULL;TEZJCR
18923742;10;promotor;10;10;10;10;10;TFCAXW
19379245;0;detrator;NULL;NULL;NULL;NULL;NULL;TFDMBQ
20519773;9;promotor;9;9;9;9;9;T76806
19094476;10;promotor;10;10;10;10;10;TEYJDK
21136588;8;passivo;9;9;9;9;9;T16961
21260749;6;detrator;NULL;NULL;NULL;NULL;NULL;T45675
19685824;10;promotor;NULL;NULL;NULL;NULL;NULL;TFDOB0
20092369;10;promotor;10;10;10;10;10;TFCFEH
20906223;10;promotor;10;10;10;10;10;TFCAB2
21414405;10;promotor;10;10;10;10;10;TFCVY1
19396050;10;promotor;10;10;10;10;10;T60517
21146283;10;promotor;10;10;10;10;10;T27008
20343609;10;promotor;NULL;NULL;NULL;NULL;NULL;T30884
21290188;9;promotor;10;10;10;9;10;TAAFVF
19000029;10;promotor;10;10;10;10;10;T02684
20005003;10;promotor;10;10;10;10;10;TFBLBY
19806459;10;promotor;NULL;NULL;NULL;NULL;NULL;TFCNRP
21349239;7;passivo;8;8;7;8;8;TB4232
20930861;8;passivo;10;10;9;8;7;TEZH10
20123085;10;promotor;NULL;NULL;NULL;NULL;NULL;TB6386
20229220;10;promotor;10;10;10;10;10;TFCGND
19917213;10;promotor;10;10;10;10;10;TEZKIY
20772973;10;promotor;10;10;10;10;10;T12690
19021001;10;promotor;10;10;10;10;10;TA6050
21381582;0;detrator;NULL;NULL;NULL;NULL;NULL;TCBANZ
20551948;10;promotor;10;10;10;10;10;T53095
20751381;10;promotor;10;10;10;10;10;TA3502
20190019;10;promotor;10;10;10;10;10;TEZN39
19224447;10;promotor;10;10;10;10;10;T23615
19212141;10;promotor;NULL;NULL;NULL;NULL;NULL;TFCT08
21343193;8;passivo;8;8;8;8;8;T03585
19786589;10;promotor;9;9;9;9;9;T43138
21015435;9;promotor;NULL;NULL;NULL;NULL;NULL;TFAOX1
19156431;10;promotor;10;10;10;10;10;T50320
20464112;9;promotor;8;6;8;7;9;TDC1KH
19917351;7;passivo;9;6;6;6;4;T17094
21025594;8;passivo;9;7;9;9;7;TEZF71
18982936;10;promotor;NULL;NULL;NULL;NULL;NULL;T84290
20729224;10;promotor;10;9;10;10;10;TDC01Z
18908826;9;promotor;9;10;9;9;9;TDC099
18997619;10;promotor;10;10;10;10;10;T45356
21022052;10;promotor;10;10;10;10;10;T04247
21118782;9;promotor;NULL;NULL;NULL;NULL;NULL;TEXST8
20677369;10;promotor;10;10;10;10;10;TDC01Q
21330177;9;promotor;9;9;9;9;9;T02145
19853227;8;passivo;7;7;7;7;7;T60517
21236076;10;promotor;NULL;NULL;NULL;NULL;NULL;TAAFVF
19844783;10;promotor;10;10;10;10;10;TEZN39
21096323;10;promotor;NULL;NULL;NULL;NULL;NULL;T25978
20063196;10;promotor;10;10;10;10;10;T07912
19558765;10;promotor;10;10;10;10;10;TEZNGU
20825891;10;promotor;10;10;10;9;9;T15854
21351318;6;detrator;10;10;10;7;10;T74810
21348036;10;promotor;10;10;10;10;10;TFBLKG
21123188;6;detrator;7;6;7;7;7;T50149
20606556;10;promotor;10;10;10;10;10;T13629
18981880;10;promotor;NULL;NULL;NULL;NULL;NULL;T27008
20070002;9;promotor;9;9;9;9;9;TFDAJ0
19791256;10;promotor;10;10;10;10;10;TFDIGX
20956015;10;promotor;10;10;10;10;10;T27008
18945218;10;promotor;10;10;10;10;10;TFCLHU
20702918;10;promotor;10;10;10;10;10;TB4615
20094520;10;promotor;NULL;NULL;NULL;NULL;NULL;T35530
19837876;1;detrator;NULL;NULL;NULL;NULL;NULL;TFDEXX
21033717;10;promotor;10;10;10;10;10;T00082
19808532;9;promotor;9;9;9;9;9;T49920
20443256;10;promotor;10;10;10;10;10;TFDPPC
19532298;10;promotor;10;10;10;10;10;TFCZP7
19760995;10;promotor;10;10;10;10;10;TFDF96
19479013;10;promotor;NULL;NULL;NULL;NULL;NULL;T10698
19697035;10;promotor;10;10;10;10;10;T45963
19290447;10;promotor;10;10;10;10;10;TEVVJW
20477710;10;promotor;NULL;NULL;NULL;NULL;NULL;TFCLCO
20818553;10;promotor;NULL;NULL;NULL;NULL;NULL;TFDCZZ
21359651;7;passivo;7;7;6;6;7;T16981
20107394;10;promotor;10;10;10;10;10;T36732
20629164;8;passivo;8;6;6;3;3;TFBRJZ
18851292;9;promotor;NULL;NULL;NULL;NULL;NULL;TFCPXC
19965348;10;promotor;10;10;10;10;10;T09590
20886734;10;promotor;NULL;NULL;NULL;NULL;NULL;T03120
21164005;10;promotor;10;10;10;10;10;T11037
20147495;10;promotor;10;10;6;10;10;T75322
18635597;2;detrator;1;1;2;0;0;TFCODW
19691785;10;promotor;NULL;NULL;NULL;NULL;NULL;T42748
19866812;10;promotor;10;10;10;10;10;TEWP22
21295589;10;promotor;10;10;10;10;10;T76352
19762076;10;promotor;10;10;10;10;10;T84068
19228773;10;promotor;10;10;10;10;10;T49920
20873854;10;promotor;10;10;10;10;10;TB3721
19361220;10;promotor;NULL;NULL;NULL;NULL;NULL;TFBSVT
20701880;0;detrator;5;0;0;0;0;TFDATD
20523089;10;promotor;10;10;10;10;10;TEXSJH
21118125;9;promotor;10;10;9;9;9;T08245
19357491;10;promotor;10;10;10;10;10;T75794
19069421;10;promotor;10;10;10;10;10;T53780
20451580;10;promotor;10;10;10;10;10;T53751
20397409;10;promotor;10;10;10;10;10;T06468
19001143;10;promotor;10;10;10;10;10;T53161
21462562;9;promotor;10;10;10;10;10;TFCT26
19169773;10;promotor;9;9;9;9;9;TEVVT0
21318862;10;promotor;10;10;10;9;9;T27008
20229501;10;promotor;10;10;10;10;10;TFCDXR
21069763;10;promotor;10;10;10;10;10;T60517
19133869;10;promotor;10;10;10;10;10;TFCDXR
21133788;10;promotor;10;10;10;10;10;T60517
20507690;9;promotor;9;9;9;9;9;T49295
19508616;10;promotor;10;10;10;10;10;TFCNRP
20593631;10;promotor;10;10;10;10;10;TEZNL0
19097354;10;promotor;10;10;10;10;10;T53161
21354193;2;detrator;NULL;NULL;NULL;NULL;NULL;TEXYFP
20958774;10;promotor;NULL;NULL;NULL;NULL;NULL;TFBMMJ
19005253;10;promotor;NULL;NULL;NULL;NULL;NULL;TFDEU6
20517057;10;promotor;10;10;10;10;10;T49920
20423035;10;promotor;10;10;10;10;10;TFCAB2
19697654;10;promotor;10;10;10;10;10;TFDIGX
19235894;10;promotor;10;10;10;10;10;TEZIUB
20920354;10;promotor;NULL;NULL;NULL;NULL;NULL;T56137
19474262;10;promotor;NULL;NULL;NULL;NULL;NULL;TFBLUM
19648883;9;promotor;9;9;10;9;10;TFDNKE
19774315;10;promotor;10;10;9;10;10;T07912
19058579;10;promotor;9;9;9;9;9;T16411
19204262;10;promotor;10;10;10;6;10;TEZDFJ
19642776;10;promotor;10;10;10;10;10;TCAL80
20619497;10;promotor;10;10;10;10;10;T75582
18483089;10;promotor;10;10;10;10;10;T11293
19933451;10;promotor;10;10;10;5;10;TA3153
20887095;10;promotor;10;10;9;7;8;T17146
19822198;10;promotor;10;10;9;9;9;T50223
20984268;10;promotor;10;10;10;10;10;TDC01Z
18983110;10;promotor;10;10;10;10;10;TFCNRP
20997138;10;promotor;NULL;NULL;NULL;NULL;NULL;TA2879
19848743;9;promotor;9;10;5;10;10;TEZFE6
20561358;10;promotor;10;10;9;5;8;T57514
19208306;10;promotor;NULL;NULL;NULL;NULL;NULL;TFBWHS
21101479;8;passivo;NULL;NULL;NULL;NULL;NULL;TEZKLA
21104596;10;promotor;10;10;10;10;10;TFCSI8
20441168;10;promotor;10;10;10;10;10;T49634
19347016;10;promotor;10;10;10;10;10;TFCNJV
20921731;10;promotor;10;10;10;10;10;TFDID7
21120559;10;promotor;10;10;10;10;10;T42559
21274738;10;promotor;10;10;10;10;10;TA3502
20351825;10;promotor;10;10;10;5;10;TFDCA5
19140900;10;promotor;10;10;10;10;10;T25254
19907332;10;promotor;NULL;NULL;NULL;NULL;NULL;TFCHC3
19274818;10;promotor;10;10;10;10;10;TFCYI5
20360470;10;promotor;10;10;10;10;10;TFCAI9
19993592;10;promotor;10;10;10;10;10;T61925
20519547;9;promotor;9;9;9;9;9;T75274
20287272;5;detrator;7;5;5;0;1;TEZHM6
19363700;10;promotor;10;10;10;10;10;TFDAJH
18990470;10;promotor;10;10;8;10;10;TFBSZN
21278180;10;promotor;10;9;9;9;9;TFCDXR
19419296;7;passivo;8;7;7;8;6;T75344
20050676;10;promotor;10;10;10;10;10;T35077
19128429;10;promotor;NULL;NULL;NULL;NULL;NULL;TB0849
20362404;8;passivo;5;5;5;5;5;T50149
18862435;10;promotor;NULL;NULL;NULL;NULL;NULL;TEXXYU
19930660;8;passivo;8;8;8;8;8;T05967
19669562;9;promotor;9;9;8;8;8;TEVYXQ
19827095;10;promotor;10;10;10;10;10;T41352
21159824;10;promotor;10;10;10;10;10;T76679
20823025;10;promotor;10;10;10;10;10;TFDF96
19578299;10;promotor;10;10;10;10;10;TEZEHW
19202731;10;promotor;NULL;NULL;NULL;NULL;NULL;T02250
21221433;10;promotor;10;10;10;10;10;TEXKSA
19205468;5;detrator;7;5;8;4;4;TFCT26
21084894;9;promotor;NULL;NULL;NULL;NULL;NULL;TEZCVL
20332721;10;promotor;10;10;10;10;10;T34142
20250491;10;promotor;10;10;10;10;10;T84612
20064837;10;promotor;10;10;10;10;10;TEZKS3
19405822;10;promotor;10;10;10;10;10;TEZKIY
19380461;10;promotor;10;10;10;10;10;T51520
21103640;10;promotor;NULL;NULL;NULL;NULL;NULL;T24898
20478292;10;promotor;10;10;10;10;10;T37248
20298909;10;promotor;NULL;NULL;NULL;NULL;NULL;TFDGNH
19694057;10;promotor;10;10;10;10;10;T12653
19312121;10;promotor;NULL;NULL;NULL;NULL;NULL;TFDRGJ
19719476;10;promotor;10;10;10;10;10;TEZHGT
19105569;10;promotor;10;9;10;9;9;TFBLKG
20218578;10;promotor;10;10;10;10;10;TEXVBP
21448077;9;promotor;NULL;NULL;NULL;NULL;NULL;T56241
19686922;10;promotor;NULL;NULL;NULL;NULL;NULL;T15732
18546334;10;promotor;NULL;NULL;NULL;NULL;NULL;TFBKUE
19917150;10;promotor;10;10;10;10;10;TFCHGI
19727898;10;promotor;10;10;10;10;10;T15650
20067917;10;promotor;10;10;10;10;10;TEZNYK
19277252;1;detrator;1;2;1;1;5;T15650
20001911;10;promotor;10;10;10;10;10;TD0647
19017316;10;promotor;10;10;10;10;10;TEVYDI
19192903;10;promotor;10;10;10;10;10;T12870
18935251;10;promotor;NULL;NULL;NULL;NULL;NULL;TEVOVX
19440189;10;promotor;10;10;10;10;10;T00788
20817589;10;promotor;10;10;10;10;10;TFCYP5
19322840;10;promotor;NULL;NULL;NULL;NULL;NULL;T16696
19738581;10;promotor;10;10;10;10;10;TFDAS4
19790844;10;promotor;10;10;10;10;10;T13320
21175029;10;promotor;NULL;NULL;NULL;NULL;NULL;TB1949
20221898;10;promotor;10;10;10;10;10;T35673
20244411;10;promotor;10;10;10;10;10;TEZIYN
19368113;10;promotor;10;10;10;10;10;TFCI28
20569306;5;detrator;5;5;5;5;5;TEZIW1
21125198;10;promotor;10;10;10;10;10;TA3945
20257524;10;promotor;8;9;0;5;0;T14439
20135683;10;promotor;NULL;NULL;NULL;NULL;NULL;T30420
20752422;10;promotor;10;10;10;10;10;TFCEX9
19801026;9;promotor;9;9;9;9;9;TFDIRI
19084152;10;promotor;NULL;NULL;NULL;NULL;NULL;T36761
19578371;10;promotor;10;10;10;10;10;TEZCXN
20363467;10;promotor;9;9;9;9;9;TEVVV0
18967320;10;promotor;10;9;10;7;10;TFCYI5
19134414;10;promotor;10;10;10;10;10;TDC0IN
20290792;2;detrator;NULL;NULL;NULL;NULL;NULL;T23632
20628666;8;passivo;6;9;7;7;7;T55219
19865977;10;promotor;10;10;10;10;10;TEZKIY
19476608;10;promotor;NULL;NULL;NULL;NULL;NULL;T80088
20206266;8;passivo;8;8;8;8;8;T42559
19784168;10;promotor;10;10;10;10;10;T77520
19506022;10;promotor;10;10;10;10;10;TDC0MZ
19138296;10;promotor;10;10;10;10;10;TFCQDV
19971859;10;promotor;NULL;NULL;NULL;NULL;NULL;T14439
20025532;10;promotor;10;10;10;10;10;TFBMMJ
21118325;8;passivo;8;8;8;8;8;TEZKDH
19189716;10;promotor;10;10;7;10;10;TEZET6
19474632;10;promotor;10;10;10;10;10;T77947
21229842;10;promotor;10;10;10;10;10;TFCYO8
19068617;10;promotor;NULL;NULL;NULL;NULL;NULL;T02684
19330690;10;promotor;10;10;10;10;10;TFCZP7
20492847;10;promotor;10;10;10;10;10;T48590
19840996;10;promotor;NULL;NULL;NULL;NULL;NULL;TFDCGT
20395733;10;promotor;NULL;NULL;NULL;NULL;NULL;TDC00W
19981811;10;promotor;10;10;10;10;10;T01384
19613450;10;promotor;10;10;10;10;10;TB4671
19003026;10;promotor;10;10;10;10;10;T62310
21254812;10;promotor;10;10;10;10;10;TEZI93
21398440;0;detrator;NULL;NULL;NULL;NULL;NULL;TEXNB3
20381759;9;promotor;NULL;NULL;NULL;NULL;NULL;TEZF97
18794027;10;promotor;10;10;10;10;10;TFCLHN
20421002;10;promotor;10;10;10;10;10;T55754
19453302;9;promotor;10;10;10;10;10;T01440
19310474;10;promotor;NULL;NULL;NULL;NULL;NULL;TD0647
18921874;10;promotor;10;10;10;10;10;T04819
19798796;10;promotor;NULL;NULL;NULL;NULL;NULL;TFCNRP
19347708;10;promotor;10;10;10;10;10;T60517
20130193;10;promotor;10;10;5;10;10;TFCXO3
20024102;10;promotor;10;10;10;10;10;T31446
20929942;10;promotor;NULL;NULL;NULL;NULL;NULL;TA3197
21020941;10;promotor;10;10;10;10;10;TEZGIV
20233966;10;promotor;10;10;10;10;10;TFBMB3
20063136;10;promotor;10;10;10;10;10;T55737
20059040;10;promotor;10;10;10;10;10;TFCYO8
19591183;10;promotor;10;10;10;10;9;TEZEUQ
19819051;10;promotor;10;10;10;10;10;TEZSQV
20886141;10;promotor;10;10;10;8;8;TFBLUM
20792294;10;promotor;10;10;10;10;10;T77617
20502477;10;promotor;10;10;10;10;10;TDC099
20322461;10;promotor;10;10;10;10;10;T76806
19312267;10;promotor;NULL;NULL;NULL;NULL;NULL;TDC01O
21035831;10;promotor;10;10;10;10;10;TEZKIY
20329262;10;promotor;10;9;10;8;9;TB4442
19468878;10;promotor;10;10;10;10;10;T59746
20863185;9;promotor;10;10;10;10;10;TEXST8
21226083;10;promotor;9;9;9;9;9;T57362
19413222;10;promotor;10;10;10;10;10;T02571
21065167;10;promotor;NULL;NULL;NULL;NULL;NULL;TEZGIV
20716454;0;detrator;0;0;0;0;0;TFCPWG
19123984;10;promotor;10;10;10;10;10;TFBLUM
19078900;10;promotor;10;10;10;10;10;TFBRQP
20662765;10;promotor;10;10;10;10;10;TFCPUN
21073568;10;promotor;10;10;10;10;10;TEZI93
19732760;10;promotor;10;10;10;10;10;TFDF96
19755016;10;promotor;NULL;NULL;NULL;NULL;NULL;TFCEX9
21463168;10;promotor;NULL;NULL;NULL;NULL;NULL;T11037
19014708;9;promotor;10;10;10;10;10;TEZNGU
19907340;10;promotor;10;10;10;10;10;T52432
20011027;10;promotor;10;10;10;10;10;T13852
20706678;9;promotor;9;9;9;9;9;TFBLCS
19926732;10;promotor;10;8;10;8;8;TB1733
19721398;9;promotor;9;9;9;9;9;T56076
19711173;10;promotor;10;10;9;9;10;T52576
19632494;9;promotor;NULL;NULL;NULL;NULL;NULL;T12653
21318477;10;promotor;10;10;10;10;10;T43460
20351910;5;detrator;5;0;1;5;0;TFCZR4
20009569;10;promotor;NULL;NULL;NULL;NULL;NULL;TFDA48
19943283;10;promotor;10;10;10;10;10;TFDRAT
18643417;10;promotor;10;10;7;10;10;T47026
19321148;9;promotor;9;9;9;9;9;TFCNSQ
19440447;10;promotor;9;10;10;7;9;T05273
21230122;10;promotor;10;10;10;10;10;T77096
21076173;10;promotor;10;10;10;10;10;T00538
21966576;10;promotor;10;10;10;10;10;TEYYTA
21047053;10;promotor;10;10;10;10;10;T17094
19187118;9;promotor;NULL;NULL;NULL;NULL;NULL;TFCNRP
19292306;10;promotor;10;10;10;10;10;TAAQPD
21329871;9;promotor;10;10;10;10;10;TFCYI5
21411882;6;detrator;NULL;NULL;NULL;NULL;NULL;T13047
21109594;10;promotor;10;10;10;10;10;TFBLKG
20842074;10;promotor;10;10;10;10;10;T37248
20855214;10;promotor;NULL;NULL;NULL;NULL;NULL;TA0719
19327277;10;promotor;10;10;10;10;10;TEZLS0
20721024;10;promotor;10;10;10;10;10;TFDDBG
19132415;10;promotor;10;10;10;10;10;TFCAB2
20055442;10;promotor;NULL;NULL;NULL;NULL;NULL;TEZKIY
19510084;10;promotor;NULL;NULL;NULL;NULL;NULL;TEZBKX
19778772;10;promotor;10;10;10;10;10;T61431
20203466;10;promotor;10;9;9;9;9;TEZPGR
20022631;10;promotor;10;10;10;10;10;TEZKD5
19772806;10;promotor;10;10;10;10;10;TEZEY2
22132979;10;promotor;9;10;9;10;9;TFDADK
20240282;10;promotor;10;10;10;10;10;TFBRQP
20346161;10;promotor;10;10;10;10;10;TFDDBG
21152115;10;promotor;10;10;10;10;10;TEZDFJ
20945039;10;promotor;10;10;10;10;10;TB4671
21149749;10;promotor;10;10;10;10;10;T53755
20947816;10;promotor;10;10;10;9;10;TEZPG9
19990757;10;promotor;10;10;10;10;10;T77520
20534987;10;promotor;10;10;10;10;10;TFBXJW
19398785;10;promotor;NULL;NULL;NULL;NULL;NULL;TEVNVS
21034470;10;promotor;10;10;10;10;10;TFDIGX
20700954;10;promotor;10;10;10;10;10;T54284
21137626;10;promotor;10;10;10;10;10;TFDAKQ
20825012;9;promotor;9;9;9;9;9;T51693
21389917;10;promotor;10;10;10;10;10;T41352
21049148;10;promotor;10;10;10;10;10;T16751
21181449;10;promotor;10;10;10;10;10;T03000
20380379;10;promotor;10;10;10;10;10;TEZCXN
19877923;10;promotor;10;10;10;10;10;T80088
19117435;10;promotor;10;9;10;7;9;TEZF71
20686230;10;promotor;10;10;10;10;10;T36739
21072998;0;detrator;NULL;NULL;NULL;NULL;NULL;TB4577
20605883;10;promotor;10;10;10;10;10;TFBXJW
19480473;10;promotor;NULL;NULL;NULL;NULL;NULL;TFDCZV
19221913;10;promotor;10;10;10;10;10;TFCYP5
19101786;10;promotor;10;10;10;10;10;TAAHWZ
20269326;10;promotor;10;10;10;10;10;T76806
20216293;10;promotor;10;10;10;10;10;TFCLMQ
21055618;10;promotor;10;10;10;10;10;TFCNRP
20124814;10;promotor;10;10;7;10;10;T07396
20772133;10;promotor;10;10;10;8;10;T37041
20312888;10;promotor;NULL;NULL;NULL;NULL;NULL;TFCNRP
20970773;9;promotor;9;9;9;9;9;TEZGMI
21453969;10;promotor;10;10;10;10;10;TEZM89
20852483;9;promotor;9;9;9;9;9;T11037
20049908;10;promotor;10;10;10;10;10;T16451
21269531;10;promotor;10;10;10;10;10;TFCAB2
19641551;10;promotor;10;10;10;3;10;TAAJVL
20339330;9;promotor;9;10;7;8;10;T14449
21408608;9;promotor;9;9;9;9;9;T14119
21111438;4;detrator;8;0;6;0;0;T36739
21099274;10;promotor;NULL;NULL;NULL;NULL;NULL;T75385
21594242;10;promotor;10;10;10;10;10;TFCMI7
20358221;10;promotor;10;10;10;10;10;TCAL80
20575651;8;passivo;NULL;NULL;NULL;NULL;NULL;TFBSL9
20143849;10;promotor;10;10;10;10;10;TEZDC9
22715723;7;passivo;10;7;7;8;7;TFDOUH
19115279;10;promotor;10;10;10;10;10;TFDAKQ
21492888;10;promotor;NULL;NULL;NULL;NULL;NULL;T03655
21407355;10;promotor;10;10;10;10;10;TEVNZF
20541976;0;detrator;0;0;0;0;0;TEZOOD
21200657;10;promotor;10;10;10;10;10;T50725
20776854;10;promotor;10;10;10;10;10;T05034
20041193;10;promotor;NULL;NULL;NULL;NULL;NULL;TEZOOU
20198912;10;promotor;10;10;10;10;10;TEZOOL
18586696;8;passivo;7;7;6;6;6;TCAWPS
19806186;10;promotor;NULL;NULL;NULL;NULL;NULL;TEXPSQ
21137634;10;promotor;10;10;10;10;10;TA0719
19147734;10;promotor;10;10;10;10;10;TEXKLA
17617779;10;promotor;10;10;10;10;10;T60458
21568605;10;promotor;10;10;10;10;10;T75794
20567214;9;promotor;NULL;NULL;NULL;NULL;NULL;TEZSOM
19729179;10;promotor;10;10;10;10;10;TFCVY1
20902034;10;promotor;10;10;10;10;10;TFCGOQ
21119748;10;promotor;NULL;NULL;NULL;NULL;NULL;TFDDU3
21306817;10;promotor;10;10;10;10;10;TB4814
21384406;10;promotor;10;10;10;10;10;TEZLXL
21031006;10;promotor;NULL;NULL;NULL;NULL;NULL;TEYVRA
21020752;10;promotor;10;10;10;10;10;T00538
19482919;10;promotor;10;10;10;10;10;T60517
20019979;10;promotor;10;10;10;10;10;T15688
19113370;10;promotor;10;10;10;10;10;T35094
19223918;10;promotor;5;5;5;5;5;TFCIT0
